Epic,TaskID,TaskName,Phase,DependsOn,Acceptance,EstDays,Role,Ref
E1 工程脚手架与基础设施,T1.1,初始化 uv 工程与目录骨架,P0,,uv sync 可用；目录结构(§14)就位；lint/format/pre-commit/CI 通过,2,BE,§14
E1 工程脚手架与基础设施,T1.2,三层配置系统,P0,T1.1,pydantic-settings 合并 默认/外置/env；敏感项外置不入 git；校验失败报错,2,BE,§8.1
E1 工程脚手架与基础设施,T1.3,配置热加载机制,P0,T1.2,运行期白名单参数热改生效；校验失败保留旧值并告警,2,BE,§8.2
E1 工程脚手架与基础设施,T1.4,结构化日志模块(集成 lntools),P0,T1.1,JSON 行日志含规定字段；按大小/时间轮转；lntools 封装可用,2,BE,§11.1
E1 工程脚手架与基础设施,T1.5,DB/Redis 连接管理,P0,T1.2,PG/Redis 连接工厂+池；健康检查；超时与重连,2,BE,§10.3
E1 工程脚手架与基础设施,T1.6,本地开发环境 docker-compose,P0,T1.1,一键起 PG+TimescaleDB、Redis、PgBouncer；挂载初始化脚本,4,OPS,§12.1
E2 数据库Schema与迁移,T2.1,扩展与 schema 初始化 00_extensions,P0,T1.6,timescaledb 等扩展可装；meta/market/realtime/ops 四 schema 建好,1,DBA,§6.4
E2 数据库Schema与迁移,T2.2,元数据层 DDL 10_meta,P0,T2.1,instruments/symbol_map/trading_calendar/future_contracts/option_contracts 建表+约束+索引,2,DBA,§6.3
E2 数据库Schema与迁移,T2.3,行情事实层 DDL 20_market,P0,T2.1,index/future/option × 1d/1m 建表 + create_hypertable + 主键/BRIN,3,DBA,§6.4
E2 数据库Schema与迁移,T2.4,压缩与连续聚合策略 30_compress_ca,P0,T2.3,压缩策略 + 连续聚合(或交易日对齐物化视图)创建并可刷新,2,DBA,§6.4
E2 数据库Schema与迁移,T2.5,实时缓冲层 DDL 40_realtime,P0,T2.1,tick_buffer hypertable + retention policy,1,DBA,§6.6
E2 数据库Schema与迁移,T2.6,运维/权限层 DDL 50_ops,P0,T2.1,users/api_keys/etl_job_run/data_quality_check 建表,2,DBA,§6.7
E2 数据库Schema与迁移,T2.7,schema 版本化迁移框架,P0,T2.2;T2.3;T2.4;T2.5;T2.6,迁移工具可升级/回滚；CI 校验幂等,3,DBA,§12.3
E3 数据源适配层,T3.1,数据源抽象接口,P0,T1.1,HistoryDataSource/RealtimeDataSource Protocol + 标准 DataFrame schema,2,BE,§5.2
E3 数据源适配层,T3.2,RQData 适配器,P0,T3.1;T1.2,license 登录、限频重试；日/分钟/合约/日历归一化输出,4,DATA,§5.2
E3 数据源适配层,T3.3,insight 适配器,P0,T3.1;T1.2,账号/IP 登录、回调接入、回放补数接口、字段归一,4,DATA,§5.1
E3 数据源适配层,T3.4,代码映射服务(symbol_map),P1,T3.2;T3.3;T2.2,双向映射(rqdata/insight↔instrument_id)；缺失代码告警,2,DATA,§5.3
E3 数据源适配层,T3.5,交易日历服务(夜盘归属),P0,T3.2;T2.2,trading_day 归属(夜盘归下一交易日)；单测覆盖边界,2,DATA,§5.3
E4 元数据导入,T4.1,合约/标的元数据导入,P0,T3.2;T2.2,指数/期货/期权 instruments+扩展表导入；幂等,3,DATA,§6.3
E4 元数据导入,T4.2,交易日历导入与维护,P0,T3.5;T2.2,交易日历(含夜盘/上下一交易日)入库；可增量更新,2,DATA,§6.3
E4 元数据导入,T4.3,元数据增量更新与变更检测,P0,T4.1,上市/退市/合约变更检测与更新；留痕,2,DATA,§12.3
E5 盘后日频ETL,T5.1,抽取层框架,P1,T3.2;T4.1,"按 (asset,freq,day,symbols) 分片拉取；断点续拉、限频退避",3,DATA,§7.2
E5 盘后日频ETL,T5.2,转换层框架,P1,T5.1,单位/时区/复权因子归一；trading_day 注入；品种插件挂载点,3,DATA,§7.2
E5 盘后日频ETL,T5.3,数据质量校验框架,P1,T5.2,规则引擎(缺bar/价格跳变/OHLC关系/非负/因子单调)；写 data_quality_check；error 阻断,3,DATA,§7.3
E5 盘后日频ETL,T5.4,幂等写入层,P1,T5.2;T2.3,ON CONFLICT UPSERT/COPY 批量写；重跑一致；导出钩子,3,BE,§7.3
